ra,mag,decrad,con
2.924607,8.98,-0.970767153,Phoenix
1.69753,8.52,-0.933596288,Eridanus
3.85621,9.05,-1.011230096,Tucana
1.540093,8.86,0.055078642,Cetus
3.71241,8.32,0.443063948,Taurus
0.133562,6.7,0.672804027,Andromeda
1.119782,8.55,0.017500158,Cetus
3.680423,5.55,0.053352329,Taurus
2.000227,11.98,-0.601690006,Fornax
0.904887,6.98,1.033446457,Cassiopeia
2.160657,9.59,-0.462522306,Fornax
1.067265,7.55,-0.299929228,Cetus
1.854701,9.54,-0.206944097,Eridanus
0.9896,7.08,1.202260161,Cepheus
0.201689,8.89,0.701596379,Andromeda
3.353468,9.78,0.20731572,Pisces
1.580316,8.06,-0.367186218,Cetus
2.757201,8.78,0.870955538,Perseus
0.310625,5.86,0.295930187,Aries
3.718648,10.56,0.367507389,Taurus
1.29926,10.29,0.022648295,Cetus
3.741106,7.92,0.251024168,Taurus
0.901104,9.2,1.25985621,Cassiopeia
0.844922,9.76,1.149857617,Cassiopeia
0.226934,10.21,0.776040919,Andromeda
0.437385,8.16,0.526964641,Aries
2.317187,8.85,-0.880737608,Horologium
3.386472,8.18,0.135988084,Pisces
2.276197,10.31,-0.956514053,Horologium
0.408236,7.11,0.259363668,Aries
2.564255,6.66,0.907008995,Perseus
2.092172,8.29,-0.60231807,Fornax
3.291589,7.6,0.584961179,Pisces
1.567274,8.34,-0.410524588,Cetus
3.537949,9.95,-0.46299469,Sculptor
1.540619,8.19,-0.041809437,Cetus
2.9143,4.59,-0.804335103,Phoenix
0.222099,6.71,0.704717885,Andromeda
0.962166,9.42,1.170915321,Cassiopeia
2.462739,5.51,-1.350683328,Hydrus
2.952876,8.78,-0.755737262,Phoenix
1.127185,9.26,-0.307370984,Cetus
0.265257,6.09,0.681368263,Andromeda
3.648487,8.19,0.310866341,Taurus
1.503852,7.26,0.016930168,Cetus
0.591286,7.76,0.929459392,Cassiopeia
3.083595,8.23,-0.063290234,Pisces
2.451393,8.8,-1.329396799,Hydrus
0.03584,6.76,0.771494813,Andromeda
1.694326,9.69,-0.997353811,Eridanus
2.819212,11.51,0.784581829,Perseus
1.237134,8.64,-0.334528306,Cetus
0.85735,10.12,1.086386402,Cassiopeia
3.595379,7.96,-0.670723478,Sculptor
1.998698,8.2,-0.581430033,Fornax
3.86689,6.68,-1.296820754,Tucana
1.595591,7.25,0.148826872,Cetus
3.1062,7.13,0.074195973,Pisces
0.229362,7.48,0.762808171,Andromeda
2.585139,8.99,0.919913185,Perseus
0.203599,9.1,0.796314411,Andromeda
0.099091,8.32,0.638681616,Andromeda
0.216998,8.61,0.677904393,Andromeda
3.41457,8.25,-1.164076238,Reticulum
2.12484,11.38,-0.440255895,Fornax
1.020649,8.02,1.391000396,Cepheus
1.612654,9.69,0.084973403,Cetus
2.228754,7.47,-1.042997015,Horologium
1.279741,8.43,-0.200149233,Cetus
2.939059,8.12,-0.817931059,Phoenix
2.9908,8.88,-0.866397133,Phoenix
1.156323,5.49,-0.393084746,Cetus
1.13989,9.11,-0.404014313,Cetus
1.849588,7.14,-0.209193894,Eridanus
3.096705,10.01,0.204663074,Pisces
2.515755,8.6,0.226147414,Pegasus
3.012091,9.23,-0.712644676,Phoenix
0.318578,7.07,0.221349532,Aries
1.722151,7.86,-0.780296018,Eridanus
0.331386,7.89,0.43724126,Aries
0.173797,6.69,0.689065428,Andromeda
1.416899,8.46,0.008301619,Cetus
0.998322,9.62,1.222594064,Cepheus
2.554513,7.1,0.916113156,Perseus
1.870417,9.21,-0.264795278,Eridanus
2.226193,8.91,-1.103837669,Horologium
1.965565,8.52,-0.313661789,Eridanus
0.522531,8.37,1.047727254,Camelopardalis
0.238468,8.49,0.758807605,Andromeda
1.804737,8.28,-0.768882406,Eridanus
2.403692,9.15,-1.089446146,Hydrus
3.855986,9.01,-1.116320114,Tucana
0.759855,5.56,1.1205481,Cassiopeia
2.770409,6.66,0.558798066,Perseus
3.191744,9.97,0.193140844,Pisces
0.057174,6.95,0.514074157,Andromeda
3.843763,8.55,-1.111689694,Tucana
