id,ra,dec,mag,x,y,z,rarad,decrad,con
132,0.028135,-34.653545,10.62,391.706221,2.885224,-270.767989,0.007365605,-0.60481846,Scl
133,0.02823,-40.148702,6.62,159.572564,1.17943,-134.608237,0.00739061,-0.70072704,Phe
134,0.028346,-1.13996,9.96,861.874646,6.396161,-17.150637,0.007421083,-0.019896051,Psc
135,0.028453,-0.217777,8.64,50.073349,0.373003,-0.190331,0.007448998,-0.00380092,Psc
136,0.028579,24.253113,6.6,164.569338,1.231343,74.145911,0.007482003,0.42329667,Peg
137,0.028847,42.367144,6.25,276.711822,2.089808,252.388978,0.007552069,0.739446155,And
138,0.029162,-16.531661,7.83,158.190543,1.207783,-46.954642,0.007634667,-0.288531918,Cet
139,0.029686,67.506975,10.03,160.066682,1.24397,386.579925,0.007771665,1.178218982,Cep
140,0.030195,-68.104897,9.04,41.757767,0.3304,-103.904622,0.007904944,-1.188654696,Tuc
141,0.030232,36.350358,8.47,186.431129,1.475627,137.204014,0.007914748,0.634433434,And
142,0.030251,66.306032,7.33,23.976008,0.189891,54.63621,0.007919608,1.15725857,Cas
143,0.030342,76.175597,8.66,90.851501,0.72193,369.213828,0.007943601,1.329514984,Cep
144,0.030374,21.462502,10.35,42.378277,0.337022,16.661744,0.007951975,0.374591334,Peg
145,0.030402,-3.027504,5.13,139.077212,1.106982,-7.355907,0.007959312,-0.052839909,Psc
146,0.030392,-25.798526,8.96,238.807114,1.899963,-115.439943,0.0079565,-0.450269217,Scl
147,0.031071,21.026236,8.49,93338.53485,759.258296,35879.54068,0.008134259,0.366977052,Peg
148,0.031862,26.004049,11.26,40.907216,0.341175,19.956055,0.008341493,0.453856279,Peg
149,0.031921,15.528542,8.15,247.041982,2.064578,68.645748,0.008356985,0.271024177,Peg
150,0.032021,-37.229953,7.04,96.741905,0.810996,-73.513429,0.008383117,-0.649785254,Scl
151,0.032295,-28.130948,10.02,167.015269,1.412098,-89.297006,0.008454773,-0.490977664,Scl
152,0.032301,12.654888,8.9,172.991604,1.462906,38.843633,0.00845633,0.220869461,Peg
153,0.03232,-41.613774,7.78,101.577779,0.859637,-90.231883,0.008461364,-0.726297377,Phe
154,0.032672,-6.014072,4.37,131.716394,1.126662,-13.877167,0.008553479,-0.104965359,Psc
155,0.032745,46.269156,9.93,216.014409,1.851919,225.810974,0.008572634,0.807549109,And
156,0.033127,63.357826,8.6,133.850814,1.160926,266.813234,0.00867263,1.105802673,Cas
157,0.033362,-5.213925,8.51,175.940655,1.536713,-16.055582,0.008734036,-0.091000165,Psc
158,0.033384,-37.901878,7.09,121.203325,1.059515,-94.364199,0.008740031,-0.661512561,Scl
159,0.03406,-2.766171,6.93,62.385741,0.556308,-3.01437,0.008917002,-0.048278786,Psc
160,0.034117,-69.269198,8.68,165.403525,1.477564,-437.034501,0.008931729,-1.208975578,Tuc
161,0.034162,33.695958,8.98,516.745326,4.621522,344.587405,0.00894348,0.588105409,And
162,0.034224,27.118603,9.84,347.667628,3.115087,178.060123,0.008959746,0.473308904,Peg
163,0.034479,-30.685228,8.98,225.708415,2.03745,-133.942611,0.009026552,-0.535558262,Scl
164,0.03459,59.940102,7.98,144.764294,1.311692,250.145114,0.009055772,1.046152127,Cas
165,0.034649,-22.327486,10.16,706.098889,6.405229,-289.999983,0.009071059,-0.389688153,Cet
166,0.034761,-56.514931,8.86,58.816289,0.535166,-88.915731,0.009100338,-0.986371618,Phe
167,0.035188,39.183203,8.58,178.593743,1.645306,145.576517,0.009212229,0.683875903,And
168,0.035562,-2.820072,9.56,698.422409,6.50256,-34.40531,0.009310087,-0.049219545,Psc
169,0.035702,-68.280769,9.24,5.67201,0.053101,-14.239841,0.009346676,-1.191724239,Tuc
170,0.03584,-20.871662,9.63,198.373579,1.861373,-75.642435,0.009382983,-0.364279227,Cet
171,0.036139,27.082256,5.8,10.834733,0.102555,5.540428,0.009461082,0.472674536,Peg
172,0.036192,67.408952,9.05,336.959503,3.192751,809.886202,0.009474991,1.176508164,Cep
173,0.036639,47.577206,8.45,256.488523,2.460256,280.679362,0.009591951,0.830378887,And
174,0.036774,59.965338,8.86,106.038265,1.020961,183.415834,0.0096273,1.046592584,Cas
175,0.036828,49.771086,7.84,142.878965,1.377587,168.909308,0.009641507,0.868669324,Cas
176,0.036892,44.428262,8.86,154.231985,1.489716,151.191276,0.009658307,0.775419454,And
177,0.037348,-11.964352,8.93,232.911869,2.277442,-49.357866,0.009777807,-0.208817334,Cet
178,0.037869,-27.135153,7.97,96.832337,0.960091,-49.62904,0.009914136,-0.473597761,Scl
179,0.037966,-13.407437,6.9,63.492066,0.631126,-15.135401,0.0099396,-0.234003927,Cet
180,0.038061,-9.174928,8.47,282.853092,2.818525,-45.68746,0.00996429,-0.1601327,Cet
181,0.038253,60.703168,6.77,177.930706,1.781896,317.12577,0.01001461,1.059470142,Cas
182,0.038746,52.586407,8.55,261.867699,2.656416,342.357988,0.010143582,0.917805938,Cas
183,0.038867,-29.720414,5.04,133.807455,1.36158,-76.389577,0.010175253,-0.518719079,Scl
184,0.039318,11.006236,8.48,30.616154,0.315156,5.954951,0.010293413,0.192095054,Peg
185,0.039336,10.785363,8.53,76.028053,0.782972,14.483766,0.010298139,0.188240088,Peg
186,0.040046,8.956824,6.33,121.345487,1.272247,19.126563,0.010484117,0.156326062,Psc
187,0.040152,-6.05927,8.99,127.974012,1.345289,-13.585222,0.010511801,-0.105754212,Psc
188,0.040179,6.333013,8.64,99.883663,1.050714,11.086129,0.010518968,0.110531927,Psc
189,0.04035,54.135139,9.55,238.147486,2.515721,329.431374,0.010563705,0.944836423,Cas
190,0.040362,10.776364,8.74,85.941333,0.90816,16.358358,0.010566854,0.188083027,Peg
191,0.04085,-46.028896,12.43,26.640676,0.285018,-27.616666,0.010694586,-0.803355782,
192,0.041322,8.393859,8.16,269.545021,2.916056,39.775756,0.010818017,0.146500483,Psc
193,0.041447,-39.212591,9.46,171.028726,1.855947,-139.558438,0.010850884,-0.684388825,Scl
194,0.041584,8.485463,5.7,36.494389,0.397318,5.44498,0.010886699,0.148099269,Psc
195,0.041718,47.42289,7.62,79.593143,0.869346,86.631494,0.010921689,0.827685574,And
196,0.0418,51.829976,8.95,61796.01629,676.280081,78618.03239,0.010943304,0.904603731,Cas
197,0.042154,42.147779,8.97,529.550962,5.844246,479.317936,0.011035895,0.735617522,And
198,0.042183,15.335173,8.94,214.296966,2.366694,58.770021,0.011043514,0.267649255,Peg
199,0.042334,16.256565,7.24,244.264213,2.70727,71.231266,0.011082932,0.283730581,Peg
200,0.042366,-33.992633,10.32,214.226969,2.376168,-144.466725,0.011091296,-0.593283361,Scl
201,0.042619,18.683407,8.24,87.303608,0.974134,29.5243,0.011157573,0.326086962,Peg
202,0.042783,54.552139,8.62,399.94863,4.479805,561.82321,0.011200437,0.952114446,Cas
